Headache_During_Game,Headache_After_Game,Blurred_During_Game,Blurred_After_Game,Dry_or_redeye_during_Game,Dry_or_redeye_After_Game,Double_Vision_After_Game,Double_Vision_After_Game,Light_sense_During_Game,Light_Sense_After_Game,Other_Eye_Affects,Very Good Posture,Good Posture,Fair Posture,Poor Posture,Very Poor Posture,Ok,Awful,Neck discomfort,shoulders discomfort,lower back discomfort,Hands discomfort,Wrists discomfort/pain,Fingers discomfort/blisters,Thumbs discomfort/blisters,Repetitive Strain Injury,Other causes of injuries,Motion controllers,Arcade genre,Puzzle genre,RPG genre,Sim genre,RTS genre,Driving genre,FPS genre,Platform genre,Rhythm genre,Sport genre,Other Genres,Key/Mouse controller,FF Pad,Jpad,Motion controller,Rhythm controller,Other Controllers,Gender,Years,Age,hours_per_week,Year interval
,,Y,,Y,,,,,,,,,,,,B,,Y,Y,,,,Y,,No,,No,,Y,,,Y,,,Y,,,,,,,,,,F,33,58,,2004 - 2005
,,,,,,Y,,,,,,,,,,P,C,,,,,,,,No,,No,,,Y,,,,Y,Y,,,MMO,,,,,,,M,12,18,,2004 - 2005
Y,,Y,,Y,,,,,,,,,,,,P,C,Y,,,,,,,No,,No,,,Y,Y,Y,,Y,Y,,Y,Crap games,,,,,,,M,10,18,,2004 - 2005
Y,,,,,,,,Y,,,,P,,C,,,,,,Y,,Y,Y,,No,,No,,,Y,,Y,,Y,,,Y,,,,,,,,M,10,18,,2004 - 2005
,,,,,,,,Y,,,,C,,P,,,,Y,Y,Y,,,,,No,,No,Y,,Y,,,Y,Y,,,,,,,,,,,M,15,19,,2004 - 2005
Y,,Y,,Y,,,,Y,,,,,,C,,P,,Y,Y,Y,,,,,No,,No,Y,,Y,,,Y,Y,Y,,Y,,,,,,,,M,14,18,,2004 - 2005
,,,,,,,,,,,,P,,,,,,,,,,Y,Y,,No,,No,,Y,,,Y,,Y,,,,,,,,,,,M,15,24,,2004 - 2005
Y,,,,Y,,,,Y,,,,C,,,,P,,,,,,Y,Y,,No,,No,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,,,,,,,M,15,19,,2004 - 2005
Y,,,,,,,,,,,,C,,,,P,,,,,,,,,No,,No,,,Y,,Y,Y,Y,Y,,,,,,,,,,M,8,20,,2004 - 2005
Y,,,,,,,,,,,,,,B,,,,Y,Y,,,,,,No,,No,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,M,15,23,,2004 - 2005
Y,,,,,,,,Y,,,,C,,P,,,,,,,Y,Y,Y,,No,,No,,,Y,,Y,,Y,,,,,,,,,,,M,12,19,,2004 - 2005
,,Y,,,,,,,,,,,,,,B,,Y,Y,,,,,,No,,No,Y,,Y,,,,Y,Y,,,Adventure,,,,,,,M,15,20,,2004 - 2005
Y,,,,,,,,,,,,B,,,,,,Y,,,,,,,Yes,,Dance,,,Y,Y,,Y,Y,Y,Y,Y,,,,,,,,M,12,18,,2004 - 2005
,,,,,,,,,,,,,,C,,P,,,,Y,,,,,No,,No,,,Y,,,Y,Y,Y,,,,,,,,,,M,16,19,,2004 - 2005
,,,,,,,,Y,,,,,,B,,,,Y,,Y,,,,,No,,No,,,Y,Y,Y,,Y,,,,,,,,,,,M,17,20,,2004 - 2005
Y,,,,,,,,,,,,,,C,,P,,,,,,,Y,,No,,No,,,,Y,,,Y,Y,,Y,,,,,,,,M,9,19,,2004 - 2005
Y,,,,Y,,,,,,,,,,,,,B,,,Y,,,,,No,,No,,Y,Y,,Y,Y,Y,Y,,,MMO,,,,,,,M,14,18,,2004 - 2005
,,,,Y,,,,,,,,,,C,,P,,,,,Y,,,,No,,No,,Y,,Y,,,Y,,,Y,,,,,,,,M,13,18,,2004 - 2005
Y,,,,Y,,,,,,,,,,,,B,,,,,,,,,No,,No,,,,Y,,Y,Y,,,Y,,,,,,,,M,11,19,,2004 - 2005
Y,,,,Y,,,,Y,,,,,,C,,,,Y,Y,Y,Y,,Y,,No,,FPS,,,Y,,Y,,Y,,,,,,,,,,,M,13,19,,2004 - 2005
Y,,Y,,,,,,,,,,P,,,,C,,,,,Y,,Y,,No,,No,,Y,Y,,Y,,Y,Y,,,Adventure,,,,,,,M,12,20,,2004 - 2005
Y,,,,,,,,,,,,P,,,,C,,,,,Y,,Y,,No,,No,,,Y,,,,Y,,,,Adventure,,,,,,,M,12,20,,2004 - 2005
,,,,,,,,,,,,P,,C,,,,,,,,,,,No,,No,,,,,,Y,Y,,,Y,,,,,,,,M,12,18,,2004 - 2005
,,,,,,,,,,,,,,B,,,,,,,,,,,No,,No,,,,,Y,Y,Y,,,,,,,,,,,M,11,19,,2004 - 2005
,,,,,,,,,,,,P,,C,,,,Y,,,,,,,No,,No,,,,,,Y,Y,,,Y,,,,,,,,M,7,18,,2004 - 2005
,,,,,,,,,,,,,,,,B,,,,,,,,,No,,No,Y,,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,M,13,19,,2004 - 2005
Y,,Y,,,,,,,,,,C,,P,,,,Y,Y,Y,,,,,No,,No,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,M,17,22,,2004 - 2005
